Trace ID,Amplitude Range,Start time,End time,Similarity,Network,Station,Mode,Component,Azimuth,Incidence,Ellipticity
XA_S15_01_MHZ,119.0,1971-10-28 20:21:14.264151,1971-10-28 20:21:39.471698,0.98,XA,15,flat mode,MHZ,47.13019484776927,13.00287434837006,0.05905099478651516
XA_S15_01_MHZ,118.0,1971-10-29 21:51:24.528302,1971-10-29 21:51:49.735849,0.98,XA,15,flat mode,MHZ,41.19316401371554,10.882900982337702,0.02811560807950789
XA_S15_01_MHZ,115.0,1971-10-30 12:27:53.056604,1971-10-30 12:28:18.264151,0.98,XA,15,flat mode,MHZ,41.54188848098541,11.02566887099577,0.027053949164532434
XA_S15_01_MHZ,114.0,1971-10-31 15:21:13.358491,1971-10-31 15:21:38.566038,0.98,XA,15,flat mode,MHZ,42.873264124847104,11.000133506988739,0.0327037783493112
XA_S15_01_MHZ,110.0,1971-11-03 15:16:33.509434,1971-11-03 15:16:58.716981,0.98,XA,15,flat mode,MHZ,42.924426593215706,11.774968801369111,0.034056738452747363
XA_S15_01_MHZ,110.0,1971-11-05 15:26:43.320755,1971-11-05 15:27:08.528302,0.98,XA,15,flat mode,MHZ,41.87346961865674,12.978149905527028,0.08720426665331332
XA_S15_01_MHZ,167.0,1975-06-29 03:13:55.320755,1975-06-29 03:14:25.509434,0.93,XA,15,flat mode,MHZ,81.27461378624133,83.99673716860009,0.3102561150120364
XA_S15_01_MHZ,162.0,1975-06-29 16:42:14.037736,1975-06-29 16:42:39.245283,0.97,XA,15,flat mode,MHZ,68.75255099575739,81.4661544113101,0.21113894921045867
XA_S15_01_MHZ,147.0,1975-06-30 11:26:12.981132,1975-06-30 11:26:38.188679,0.98,XA,15,flat mode,MHZ,79.45701288100035,85.04814130466207,0.14610354765753275
XA_S15_01_MHZ,10.0,1975-07-01 07:19:29.660377,1975-07-01 07:19:59.849056,0.91,XA,15,flat mode,MHZ,75.39318492931078,89.81755076028381,0.1678803973028814
XA_S15_01_MHZ,160.0,1975-07-04 14:25:25.584906,1975-07-04 14:25:50.792453,0.98,XA,15,flat mode,MHZ,36.46791781257158,58.8873255021041,0.08774974028388809
XA_S15_01_MHZ,155.0,1975-07-07 14:55:31.320755,1975-07-07 14:55:56.528302,0.98,XA,15,flat mode,MHZ,50.196047826326364,60.49618847355459,0.08442903475958909
XA_S15_01_MHZ,236.0,1975-07-16 15:08:56.301887,1975-07-16 15:09:21.509434,0.97,XA,15,flat mode,MHZ,99.38330254041446,83.34535753647238,0.2798301421468565
XA_S15_01_MHZ,190.0,1975-07-17 14:54:15.245283,1975-07-17 14:54:40.452830,0.97,XA,15,flat mode,MHZ,130.04871521927305,38.7829433572028,0.26274321258328326
XA_S15_01_MHZ,199.0,1975-07-17 15:00:25.207547,1975-07-17 15:00:50.415094,0.97,XA,15,flat mode,MHZ,89.46415437471073,32.7591391727994,0.380321832550294
XA_S15_01_MHZ,9.0,1975-07-20 02:35:23.924528,1975-07-20 02:35:54.113207,0.9,XA,15,flat mode,MHZ,48.45548141140583,89.73133528248476,0.12295665141658377
XA_S15_01_MHZ,11.0,1975-07-20 03:07:50.037736,1975-07-20 03:08:20.226415,0.9,XA,15,flat mode,MHZ,56.38297129896952,89.71890021727832,0.2413876255670095
XA_S15_01_MHZ,389.0,1975-07-21 14:16:45.584906,1975-07-21 14:17:10.792453,0.97,XA,15,flat mode,MHZ,55.309357687155156,44.472150175410626,0.09759336919104361
XA_S15_01_MHZ,164.0,1975-07-25 14:28:17.811321,1975-07-25 14:28:43.018868,0.97,XA,15,flat mode,MHZ,80.81349862209416,65.19802690264885,0.24928123917410583
XA_S15_01_MHZ,209.0,1975-07-28 01:23:43.094340,1975-07-28 01:24:03.320755,0.92,XA,15,flat mode,MHZ,154.70164728623018,85.48991391154873,0.19399155185174566
XA_S15_01_MHZ,8.0,1975-07-30 04:06:02.113208,1975-07-30 04:06:32.301887,0.91,XA,15,flat mode,MHZ,74.48484686400025,89.73688083589565,0.08088917208764045
XA_S15_01_MHZ,219.0,1975-07-31 14:09:51.396226,1975-07-31 14:10:16.603773,0.95,XA,15,flat mode,MHZ,168.18965193598083,57.701546426100315,0.14448123686544012
XA_S15_01_MHZ,167.0,1975-08-03 14:10:17.660377,1975-08-03 14:10:42.867924,0.97,XA,15,flat mode,MHZ,38.94050142560904,58.67688318362419,0.0798101622296633
XA_S15_01_MHZ,180.0,1975-08-11 15:04:06.037736,1975-08-11 15:04:31.245283,0.97,XA,15,flat mode,MHZ,49.928607305544176,51.13288412654393,0.07866308414326158
XA_S15_01_MHZ,364.0,1975-08-14 13:40:31.245283,1975-08-14 13:40:56.452830,0.94,XA,15,flat mode,MHZ,49.75297118070651,42.733931334882406,0.14877168392966011
XA_S15_01_MHZ,143.0,1975-08-15 13:50:46.792453,1975-08-15 13:51:12.000000,0.96,XA,15,flat mode,MHZ,0.38416827440468504,83.82455906107546,0.3180545045391384
XA_S15_01_MHZ,8.0,1975-08-16 02:04:07.396226,1975-08-16 02:04:37.584905,0.9,XA,15,flat mode,MHZ,35.37859966803777,89.69076706680647,0.37686118537369956
XA_S15_01_MHZ,168.0,1975-08-16 22:12:04.679245,1975-08-16 22:12:29.886792,0.97,XA,15,flat mode,MHZ,148.29793532973386,78.3116905933215,0.21361444725138123
XA_S15_01_MHZ,57.0,1975-08-24 14:01:08.830189,1975-08-24 14:01:34.037736,0.98,XA,15,flat mode,MHZ,76.71977549143452,83.96466557138848,0.062406919531172673
XA_S15_01_MHZ,129.0,1975-08-27 00:11:50.792453,1975-08-27 00:12:11.018868,0.91,XA,15,flat mode,MHZ,18.075916452321078,84.86079689105061,0.5663312569081974
XA_S15_01_MHZ,139.0,1975-08-28 02:09:56.679245,1975-08-28 02:10:21.886792,0.92,XA,15,flat mode,MHZ,51.01966534812682,76.0857477224491,0.32017338899423464
XA_S15_01_MHZ,122.0,1975-08-28 19:06:47.849057,1975-08-28 19:07:13.056604,0.97,XA,15,flat mode,MHZ,80.97948051360638,85.26957792830775,0.40067288330831863
XA_S15_01_MHZ,162.0,1975-09-14 13:40:12.981132,1975-09-14 13:40:38.188679,0.92,XA,15,flat mode,MHZ,177.2643325885612,86.11206247858827,0.23419290015676597
XA_S15_01_MHZ,131.0,1975-09-15 13:52:34.264151,1975-09-15 13:52:59.471698,0.98,XA,15,flat mode,MHZ,106.33868123875101,79.55160535559834,0.10371663503233527
XA_S15_01_MHZ,364.0,1975-09-17 14:33:42.490566,1975-09-17 14:34:07.698113,0.98,XA,15,flat mode,MHZ,61.71630554805008,41.62086811205653,0.09223838650896532
XA_S15_01_MHZ,13.0,1975-09-27 18:33:00.226415,1975-09-27 18:33:30.415094,0.91,XA,15,flat mode,MHZ,52.01007575642171,89.5072198671398,0.2695197688443772
XA_S15_01_MHZ,158.0,1975-09-28 14:24:11.622642,1975-09-28 14:24:36.830189,0.97,XA,15,flat mode,MHZ,149.10122723608737,75.14238362507427,0.056475937909790316
XA_S15_01_MHZ,583.0,1975-10-01 14:19:02.792453,1975-10-01 14:19:32.981132,0.92,XA,15,flat mode,MHZ,41.454831118976344,28.272080667235013,0.1991161642504515
