Trace ID,Amplitude Range,Start time,End time,Similarity,Network,Station,Mode,Component,Azimuth,Incidence,Ellipticity
XA_S15_01_MHZ,127.0,1971-10-26 19:01:49.886792,1971-10-26 19:02:20.075471,0.94,XA,15,flat mode,MHZ,44.457870804387504,9.856088600960787,0.028375477650926594
XA_S15_01_MHZ,125.0,1971-10-28 20:21:47.924528,1971-10-28 20:22:08.000000,0.93,XA,15,flat mode,MHZ,50.457691421653934,11.764307676112162,0.04746142900275553
XA_S15_01_MHZ,119.0,1971-10-29 21:52:12.981132,1971-10-29 21:52:43.169811,0.94,XA,15,flat mode,MHZ,42.6223264856615,10.664319134335603,0.028593614785783893
XA_S15_01_MHZ,119.0,1971-10-30 12:28:31.245283,1971-10-30 12:29:01.433962,0.93,XA,15,flat mode,MHZ,45.38248982091225,10.635556836536747,0.03558223559510161
XA_S15_01_MHZ,120.0,1971-10-31 15:21:36.754717,1971-10-31 15:21:56.830189,0.93,XA,15,flat mode,MHZ,43.95192248349077,10.710404248373711,0.0260345719528061
XA_S15_01_MHZ,112.0,1971-11-03 15:17:11.849057,1971-11-03 15:17:31.924529,0.94,XA,15,flat mode,MHZ,43.240390953243335,11.402079753107815,0.03168767897602326
XA_S15_01_MHZ,113.0,1971-11-05 15:27:21.811321,1971-11-05 15:27:41.886793,0.94,XA,15,flat mode,MHZ,45.52788069612963,10.797747409525103,0.03517684107481166
XA_S15_01_MHZ,56.0,1975-07-28 08:36:27.773585,1975-07-28 08:36:57.962264,0.93,XA,15,flat mode,MHZ,41.7810871294905,88.5087913221522,0.15242329553498046
XA_S15_01_MHZ,9.0,1975-07-30 02:50:08.150943,1975-07-30 02:50:38.339622,0.9,XA,15,flat mode,MHZ,51.60977839266929,89.67081060020178,0.2764326760523426
XA_S15_01_MHZ,48.0,1975-08-26 15:59:58.339623,1975-08-26 16:00:28.528302,0.9,XA,15,flat mode,MHZ,34.02389819763695,88.91066873118116,0.7803482437110022
XA_S15_01_MHZ,73.0,1975-09-13 15:14:29.886792,1975-09-13 15:15:00.075471,0.94,XA,15,flat mode,MHZ,68.96258135629573,84.97635028448266,0.4960114870212833
XA_S15_01_MHZ,137.0,1975-09-23 13:39:32.830189,1975-09-23 13:40:03.018868,0.93,XA,15,flat mode,MHZ,77.14567284526535,70.71164056886425,0.2573342048591788
XA_S15_01_MHZ,7.0,1975-09-27 01:48:11.924528,1975-09-27 01:48:42.113207,0.9,XA,15,flat mode,MHZ,23.98929671650719,89.51810801594705,0.3538995608300303
XA_S15_01_MHZ,175.0,1975-10-24 14:17:52.000000,1975-10-24 14:18:22.188679,0.93,XA,15,flat mode,MHZ,147.40218604941668,84.55100461356211,0.23011610531090582
XA_S15_01_MHZ,97.0,1975-11-11 16:59:59.396226,1975-11-11 17:00:29.584905,0.93,XA,15,flat mode,MHZ,109.36251946451715,86.50098022535755,0.4146348908689053
XA_S15_01_MHZ,532.0,1975-11-16 19:17:03.396226,1975-11-16 19:17:33.584905,0.93,XA,15,flat mode,MHZ,39.89871386302188,71.06178824292475,0.41549148761882265
XA_S15_01_MHZ,60.0,1975-11-18 23:49:16.226415,1975-11-18 23:49:46.415094,0.91,XA,15,flat mode,MHZ,66.78358219282877,88.90033042967077,0.6382248009791464
XA_S15_01_MHZ,146.0,1975-11-22 15:26:16.905660,1975-11-22 15:26:47.094339,0.94,XA,15,flat mode,MHZ,97.60217273858133,74.13294337654338,0.05829536125841113
XA_S15_01_MHZ,9.0,1975-12-11 07:15:56.075472,1975-12-11 07:16:26.264151,0.91,XA,15,flat mode,MHZ,151.2483320302678,87.56149539941917,0.11260473969701898
XA_S15_01_MHZ,581.0,1975-12-22 07:25:38.716981,1975-12-22 07:26:08.905660,0.9,XA,15,flat mode,MHZ,168.20903535354736,79.79177300747868,0.3167136556224441
XA_S15_01_MHZ,152.0,1975-12-22 15:47:04.905660,1975-12-22 15:47:35.094339,0.94,XA,15,flat mode,MHZ,26.114761011891183,88.11226132686724,0.5052196139105218
XA_S15_01_MHZ,11.0,1976-01-23 04:14:42.264151,1976-01-23 04:15:12.452830,0.91,XA,15,flat mode,MHZ,59.8827390683937,89.70956897596794,0.34714641555490644
XA_S15_01_MHZ,66.0,1976-03-18 15:03:33.283019,1976-03-18 15:03:53.358491,0.93,XA,15,flat mode,MHZ,77.45358053123957,83.66082332508296,0.0529463012033696
