date,command,MAP,date_error,data_error,tape,file,phy_record,log_record,station
1969-11-19T17:35:59.973000Z,4,1,-,-,1,1,72,78,12
1969-11-19T17:57:32.604000Z,4,1,-,-,1,1,80,59,12
1969-11-20T01:30:43.163000Z,4,1,-,-,1,1,246,14,12
1969-11-20T01:36:53.262000Z,4,1,-,-,1,1,249,17,12
1969-11-20T03:38:27.787000Z,4,1,-,-,1,1,293,11,12
1969-11-20T03:50:17.799000Z,4,1,-,-,1,1,298,35,12
1969-11-20T08:07:42.989000Z,4,1,-,-,1,1,393,7,12
1969-11-20T08:27:48.080000Z,4,1,-,-,1,1,400,13,12
1969-11-20T21:19:47.346000Z,4,0,-,-,1,2,155,48,12
1969-11-21T00:07:22.267000Z,4,1,-,-,1,2,217,30,12
1969-11-21T00:30:38.143000Z,4,1,-,-,1,2,225,82,12
1969-11-21T19:01:33.395000Z,4,1,-,-,1,3,104,48,12
1969-11-21T19:03:18.449000Z,4,1,-,-,1,3,104,22,12
1969-11-21T20:02:33.372000Z,4,1,-,-,1,3,126,70,12
1969-11-21T20:04:13.595000Z,4,1,-,-,1,3,127,66,12
1969-11-22T20:45:37.949000Z,4,1,-,-,1,4,143,52,12
1969-11-22T20:47:03.080000Z,4,1,-,-,1,4,143,93,12
1969-11-23T00:19:52.635000Z,4,1,-,-,1,4,222,68,12
1969-11-23T00:21:17.766000Z,4,1,-,-,1,4,223,39,12
1969-11-24T21:36:48.064000Z,4,1,-,-,1,6,155,36,12
1969-11-24T21:37:03.158000Z,4,1,-,-,1,6,155,61,12
1969-11-25T00:27:18.845000Z,4,0,-,-,1,6,218,83,12
1969-11-25T04:20:17.798000Z,4,1,-,-,1,6,304,77,12
1969-11-25T04:50:52.645000Z,4,1,-,-,1,6,315,46,12
1969-11-26T23:11:58.213000Z,4,1,-,-,1,8,196,26,12
1969-11-26T23:14:28.550000Z,4,1,-,-,1,8,197,5,12
1969-11-27T18:21:48.516000Z,4,1,-,-,1,9,89,72,12
1969-11-27T18:38:22.918000Z,4,1,-,-,1,9,95,58,12
1969-11-28T15:06:03.479000Z,4,1,-,-,1,10,17,41,12
1969-11-28T15:35:43.369000Z,4,1,-,-,1,10,28,0,12
1969-11-28T18:50:49.162000Z,4,0,-,-,1,10,100,48,12
